accession	category	organism	description
NP_001290746.1	Sm-core (eukaryote)	Esox lucius	small nuclear ribonucleoprotein Sm D2
XP_040575091.1	Sm-core (eukaryote)	Lepeophtheirus salmonis	small nuclear ribonucleoprotein Sm D2
XP_067133695.1	Sm-core (eukaryote)	Centruroides vittatus	small nuclear ribonucleoprotein Sm D2
XP_014275538.1	Sm-core (eukaryote)	Halyomorpha halys	probable small nuclear ribonucleoprotein Sm D2 isoform X3
XP_072381113.1	Sm-core (eukaryote)	Diabrotica undecimpunctata	small ribonucleoprotein particle protein SmD2
XP_014275537.1	Sm-core (eukaryote)	Halyomorpha halys	probable small nuclear ribonucleoprotein Sm D2 isoform X2
XP_077303046.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmD2
XP_065207156.1	Sm-core (eukaryote)	Planococcus citri	small nuclear ribonucleoprotein-associated protein B
NP_594151.1	Sm-core (eukaryote)	Schizosaccharomyces pombe	Sm snRNP core protein Smb1
XP_074064924.1	Other		(not in type map)
XP_084186497.1	Lsm (eukaryote)	Notolepis coatsorum	LSM8 homolog, U6 small nuclear RNA associated
XP_079161044.1	Lsm (eukaryote)	Erithacus rubecula	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_081897285.1	Lsm (eukaryote)	Branta canadensis	LSM8 homolog, U6 small nuclear RNA associated isoform 3
XP_029351423.1	Lsm (eukaryote)	Echeneis naucrates	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_073184268.1	Lsm (eukaryote)	Lepidochelys kempii	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_020426952.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm8
XP_036920101.1	Lsm (eukaryote)	Sturnira hondurensis	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_075003277.1	Lsm (eukaryote)	Calonectris borealis	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_070225434.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X5
XP_070225433.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X4
XP_070225431.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_067171280.1	Lsm (eukaryote)	Apteryx mantelli	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_080521656.1	Lsm (eukaryote)	Plecotus auritus	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_063671614.1	Lsm (eukaryote)	Pan troglodytes	LSM8 homolog, U6 small nuclear RNA associated isoform X3
XP_045047544.1	Lsm (eukaryote)	Desmodus rotundus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_064558762.1	Lsm (eukaryote)	Zonotrichia leucophrys gambelii	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_077035095.1	Lsm (eukaryote)	Agelaius phoeniceus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_063523863.1	Lsm (eukaryote)	Pongo pygmaeus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_079161045.1	Lsm (eukaryote)	Erithacus rubecula	LSM8 homolog, U6 small nuclear RNA associated isoform 2
XP_071589815.1	Lsm (eukaryote)	Heliangelus exortis	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_063671613.1	Lsm (eukaryote)	Pan troglodytes	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_034501531.1	Lsm (eukaryote)	Ailuropoda melanoleuca	LSM8 homolog, U6 small nuclear RNA associated, partial
XP_065516212.1	Lsm (eukaryote)	Lathamus discolor	LSM8 homolog, U6 small nuclear RNA associated
XP_082328565.1	Lsm (eukaryote)	Balaenoptera physalus	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_077851187.1	Lsm (eukaryote)	Macaca mulatta	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_078732566.1	Lsm (eukaryote)	Lampetra fluviatilis	LSM8 homolog, U6 small nuclear RNA associated
XP_073429458.1	Lsm (eukaryote)	Dendrobates tinctorius	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_010167140.2	Lsm (eukaryote)	Antrostomus carolinensis	LSM8 homolog, U6 small nuclear RNA associated
XP_020233425.1	Sm-core (eukaryote)	Cajanus cajan	small nuclear ribonucleoprotein family protein
XP_078445506.1	Sm-core (eukaryote)	Wolffia australiana	small nuclear ribonucleoprotein family protein isoform X1
XP_069209502.1	Lsm (eukaryote)	Vanrija albida	U4/U6-U5 snRNP complex subunit LSM8
XP_076540740.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	U4/U6-U5 snRNP complex subunit LSM8
XP_011277661.1	Lsm (eukaryote)	Hansenula ciferrii	U4/U6-U5 snRNP complex subunit LSM8
XP_069230164.1	Lsm (eukaryote)	Cladosporium halotolerans	U6 snRNA-associated Sm-like protein LSm8
XP_064657954.1	Sm-core (eukaryote)	Saxophila tyrrhenica	snRNP Sm protein
XP_064697830.1	Sm-core (eukaryote)	Recurvomyces mirabilis	snRNP Sm protein
XP_066632836.1	Lsm (eukaryote)	Diplodia seriata	U4/U6-U5 snRNP complex subunit LSM8
XP_064735238.1	Sm-core (eukaryote)	Knufia obscura	snRNP Sm protein
XP_065987702.1	Lsm (eukaryote)	Metarhizium brunneum	U6 snRNA-associated Sm-like protein LSm8
XP_031877811.1	Lsm (eukaryote)	Colletotrichum fructicola Nara gc5	U6 snRNA-associated Sm-like protein LSm8
NP_588509.1	Lsm (eukaryote)	Schizosaccharomyces pombe	U6 snRNP-associated protein Lsm8
XP_006687689.1	Sm-core (eukaryote)	Yamadazyma tenuis	U4/U6-U5 snRNP complex subunit
NP_012556.2	Lsm (eukaryote)	Saccharomyces cerevisiae S288C	U4/U6-U5 snRNP complex subunit LSM8
XP_056077552.1	Lsm (eukaryote)	Saccharomyces mikatae IFO 1815	U4/U6-U5 snRNP complex subunit LSM8 SMKI_10G2220
XP_018221331.1	Lsm (eukaryote)	Saccharomyces eubayanus	U4/U6-U5 snRNP complex subunit LSM8
XP_056083126.1	Lsm (eukaryote)	Saccharomyces kudriavzevii IFO 1802	U4/U6-U5 snRNP complex subunit LSM8 SKDI_10G2300
XP_045932975.1	Lsm (eukaryote)	Saccharomycodes ludwigii	U4/U6-U5 snRNP complex subunit LSM8 SCDLUD_004464
XP_003676112.1	Lsm (eukaryote)	Naumovozyma castellii	U4/U6-U5 snRNP complex subunit LSM8 NCAS_0D01690
XP_037140272.1	Lsm (eukaryote)	Torulaspora globosa	U4/U6-U5 snRNP complex subunit LSM8 HG536_0E05090
XP_003681953.1	Lsm (eukaryote)	Torulaspora delbrueckii	U4/U6-U5 snRNP complex subunit LSM8 TDEL_0E04990
XP_004182039.1	Lsm (eukaryote)	Henningerozyma blattae CBS 6284	U4/U6-U5 snRNP complex subunit LSM8 TBLA_0H02350
XP_022677167.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	U4/U6-U5 snRNP complex subunit LSM8
XP_454691.1	Lsm (eukaryote)	Kluyveromyces lactis	U4/U6-U5 snRNP complex subunit LSM8
XP_037142752.1	Lsm (eukaryote)	Zygotorulaspora mrakii	U4/U6-U5 snRNP complex subunit LSM8 HG535_0B00620
XP_022467225.1	Lsm (eukaryote)	Huiozyma naganishii CBS 8797	U4/U6-U5 snRNP complex subunit LSM8 KNAG_0M01280
XP_002498487.1	Lsm (eukaryote)	Zygosaccharomyces rouxii	U4/U6-U5 snRNP complex subunit LSM8
XP_022628903.1	Lsm (eukaryote)	Lachancea lanzarotensis	U4/U6-U5 snRNP complex subunit LSM8 LALA0_S06e01178g
XP_002551852.1	Lsm (eukaryote)	Lachancea thermotolerans CBS 6340	U4/U6-U5 snRNP complex subunit LSM8
XP_017985664.1	Lsm (eukaryote)	Eremothecium sinecaudum	U4/U6-U5 snRNP complex subunit LSM8
XP_003648025.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	U4/U6-U5 snRNP complex subunit LSM8 Ecym_7382
NP_983279.1	Lsm (eukaryote)	Eremothecium gossypii ATCC 10895	U4/U6-U5 snRNP complex subunit LSM8
XP_064713586.1	Lsm (eukaryote)	Arxiozyma heterogenica	U4/U6-U5 snRNP complex subunit LSM8 PWA37_003092
XP_041406743.1	Lsm (eukaryote)	Maudiozyma barnettii	U4/U6-U5 snRNP complex subunit LSM8
XP_003957487.1	Lsm (eukaryote)	Kazachstania africana CBS 2517	U4/U6-U5 snRNP complex subunit LSM8 KAFR_0E01990
XP_003669211.1	Lsm (eukaryote)	Naumovozyma dairenensis CBS 421	U4/U6-U5 snRNP complex subunit LSM8 NDAI_0C03080
XP_070907813.1	Lsm (eukaryote)	Nakaseomyces bracarensis	U4/U6-U5 snRNP complex subunit LSM8
XP_449688.1	Lsm (eukaryote)	Nakaseomyces glabratus	U4/U6-U5 snRNP complex subunit LSM8 GVI51_M07821
XP_001645784.1	Lsm (eukaryote)	Vanderwaltozyma polyspora DSM 70294	U4/U6-U5 snRNP complex subunit LSM8 Kpol_1010p42
XP_003683535.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	U4/U6-U5 snRNP complex subunit LSM8 TPHA_0A00160
XP_063489303.1	Lsm (eukaryote)	Symphalangus syndactylus	U6 snRNA-associated Sm-like protein LSm2 isoform X4
XP_063489302.1	Lsm (eukaryote)	Symphalangus syndactylus	U6 snRNA-associated Sm-like protein LSm2 isoform X3
XP_063135576.1	Lsm (eukaryote)	Rattus norvegicus	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_052019511.1	Lsm (eukaryote)	Apodemus sylvaticus	U6 snRNA-associated Sm-like protein LSm2 isoform X3
XP_064676133.1	Sm-core (eukaryote)	Mucor velutinosus	snRNP Sm protein
NP_003087.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein G isoform a
NP_001304094.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein G isoform b
NP_001421527.1	Sm-core (eukaryote)	Apis mellifera	small nuclear ribonucleoprotein G
NP_001138209.1	Sm-core (eukaryote)	Drosophila melanogaster	small nuclear ribonucleoprotein G, isoform B
XP_084882595.1	Lsm (eukaryote)	Anopheles oryzalimnetes	U6 snRNA-associated Sm-like protein LSm1
XP_037032284.1	Lsm (eukaryote)	Bradysia coprophila	U6 snRNA-associated Sm-like protein LSm1
XP_060660698.1	Lsm (eukaryote)	Drosophila nasuta	U6 snRNA-associated Sm-like protein LSm1
XP_017468569.1	Lsm (eukaryote)	Rhagoletis zephyria	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_011154393.1	Lsm (eukaryote)	Harpegnathos saltator	U6 snRNA-associated Sm-like protein LSm1
XP_018392397.1	Lsm (eukaryote)	Cyphomyrmex costatus	U6 snRNA-associated Sm-like protein LSm1
XP_011339008.1	Lsm (eukaryote)	Ooceraea biroi	U6 snRNA-associated Sm-like protein LSm1 isoform X1
XP_017759081.1	Lsm (eukaryote)	Eufriesea mexicana	U6 snRNA-associated Sm-like protein LSm1
XP_076177859.1	Lsm (eukaryote)	Ptiloglossa arizonensis	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_076750989.1	Lsm (eukaryote)	Xylocopa sonorina	U6 snRNA-associated Sm-like protein LSm1
XP_011494491.1	Lsm (eukaryote)	Ceratosolen solmsi marchali	U6 snRNA-associated Sm-like protein LSm1
XP_082990519.1	Lsm (eukaryote)	Lepisma saccharinum	U6 snRNA-associated Sm-like protein LSm1 isoform X1
XP_076259462.1	Lsm (eukaryote)	Rhynchophorus ferrugineus	U6 snRNA-associated Sm-like protein LSm1
XP_081830065.1	Lsm (eukaryote)	Ips typographus	U6 snRNA-associated Sm-like protein LSm1
XP_072384264.1	Lsm (eukaryote)	Diabrotica undecimpunctata	U6 snRNA-associated Sm-like protein LSm1
XP_023013300.2	Lsm (eukaryote)	Leptinotarsa decemlineata	U6 snRNA-associated Sm-like protein LSm1
XP_073955013.1	Lsm (eukaryote)	Choristoneura fumiferana	U6 snRNA-associated Sm-like protein LSm1
XP_077295181.1	Lsm (eukaryote)	Arctopsyche grandis	U6 snRNA-associated Sm-like protein LSm1
XP_065169692.1	Lsm (eukaryote)	Dalotia coriaria	U6 snRNA-associated Sm-like protein LSm1
XP_075223620.1	Lsm (eukaryote)	Lycorma delicatula	U6 snRNA-associated Sm-like protein LSm1
XP_081623091.1	Lsm (eukaryote)	Thermobia domestica	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_073997419.1	Lsm (eukaryote)	Rhodnius prolixus	U6 snRNA-associated Sm-like protein LSm1
XP_046385602.1	Lsm (eukaryote)	Ischnura elegans	U6 snRNA-associated Sm-like protein LSm1
XP_080014701.1	Lsm (eukaryote)	Acartia tonsa	U6 snRNA-associated Sm-like protein LSm1
XP_040574214.1	Lsm (eukaryote)	Lepeophtheirus salmonis	U6 snRNA-associated Sm-like protein LSm1
XP_084453573.1	Lsm (eukaryote)	Amblyomma maculatum	U6 snRNA-associated Sm-like protein LSm1
XP_080132102.1	Lsm (eukaryote)	Coenobita brevimanus	U6 snRNA-associated Sm-like protein LSm1
XP_076345586.1	Lsm (eukaryote)	Tachypleus tridentatus	U6 snRNA-associated Sm-like protein LSm1 isoform X1
XP_084803526.1	Lsm (eukaryote)	Perissodus microlepis	U6 snRNA-associated Sm-like protein LSm1
XP_077378220.1	Lsm (eukaryote)	Festucalex cinctus	U6 snRNA-associated Sm-like protein LSm1 isoform X3
XP_077378219.1	Lsm (eukaryote)	Festucalex cinctus	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_084296013.1	Lsm (eukaryote)	Borostomias antarcticus	U6 snRNA-associated Sm-like protein LSm1 isoform 2
XP_083942976.1	Lsm (eukaryote)	Abramis brama	U6 snRNA-associated Sm-like protein LSm1
XP_083411281.1	Lsm (eukaryote)	Silurus aristotelis	U6 snRNA-associated Sm-like protein LSm1, partial
XP_084735890.1	Lsm (eukaryote)	Pipistrellus hanaki	U6 snRNA-associated Sm-like protein LSm1
XP_040473843.1	Lsm (eukaryote)	Falco naumanni	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_055151974.1	Lsm (eukaryote)	Symphalangus syndactylus	U6 snRNA-associated Sm-like protein LSm1 isoform X1
XP_073478466.1	Lsm (eukaryote)	Aquarana catesbeiana	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_084471059.1	Lsm (eukaryote)	Lepidochelys olivacea	U6 snRNA-associated Sm-like protein LSm1 isoform 1
XP_049687253.1	Lsm (eukaryote)	Astur gentilis	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_030055489.1	Lsm (eukaryote)	Microcaecilia unicolor	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_038677143.1	Lsm (eukaryote)	Scyliorhinus canicula	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_078420889.1	Lsm (eukaryote)	Cetorhinus maximus	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_072835091.2	Lsm (eukaryote)	Pogona vitticeps	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_081893672.1	Lsm (eukaryote)	Branta canadensis	U6 snRNA-associated Sm-like protein LSm1 isoform 2
XP_078285102.1	Lsm (eukaryote)	Rhinoraja longicauda	U6 snRNA-associated Sm-like protein LSm1
XP_072341586.1	Lsm (eukaryote)	Scyliorhinus torazame	U6 snRNA-associated Sm-like protein LSm1 isoform X1
XP_084355704.1	Lsm (eukaryote)	Aythya ferina	U6 snRNA-associated Sm-like protein LSm1 isoform 2
XP_076708602.1	Lsm (eukaryote)	Callospermophilus lateralis	U6 snRNA-associated Sm-like protein LSm1 isoform X4
XP_076708600.1	Lsm (eukaryote)	Callospermophilus lateralis	U6 snRNA-associated Sm-like protein LSm1 isoform X2
XP_076708601.1	Lsm (eukaryote)	Callospermophilus lateralis	U6 snRNA-associated Sm-like protein LSm1 isoform X3
XP_078717400.1	Lsm (eukaryote)	Lampetra fluviatilis	U6 snRNA-associated Sm-like protein LSm1
XP_067962570.1	Lsm (eukaryote)	Myxine glutinosa	U6 snRNA-associated Sm-like protein LSm1
XP_027198363.1	Lsm (eukaryote)	Dermatophagoides pteronyssinus	U6 snRNA-associated Sm-like protein LSm1
XP_074593398.1	Lsm (eukaryote)	Brevipalpus obovatus	U6 snRNA-associated Sm-like protein LSm1
XP_076486227.1	Lsm (eukaryote)	Sporobolomyces salmoneus	Lsm1p
XP_020072979.1	Lsm (eukaryote)	Williopsis jadinii	Lsm1p CYBJADRAFT_133787, partial
XP_020048211.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	Lsm1p, partial
XP_020436932.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm1
WP_488900870.1	Hfq	Caulobacter sp. FG121	RNA chaperone Hfq
WP_286692004.1	Hfq	Brevundimonas	MULTISPECIES: RNA chaperone Hfq
WP_487953175.1	Hfq	Hyphomonas sp.	RNA chaperone Hfq
WP_490040448.1	Hfq	Litoreibacter sp.	RNA chaperone Hfq
WP_488082314.1	Hfq	Thalassobacter sp.	RNA chaperone Hfq, partial
WP_486466597.1	Hfq	Pseudooceanicola sp. NS-SX9	RNA chaperone Hfq
WP_488003211.1	Hfq	Planktotalea sp.	RNA chaperone Hfq
WP_375597400.1	Hfq	Devosia	MULTISPECIES: RNA chaperone Hfq
WP_435667512.1	Hfq	unclassified Maritalea	MULTISPECIES: RNA chaperone Hfq
WP_054141683.1	Hfq	unclassified Allobosea	MULTISPECIES: RNA chaperone Hfq
WP_307271497.1	Hfq	Labrys	MULTISPECIES: RNA chaperone Hfq
WP_128445003.1	Hfq	Neorhizobium	MULTISPECIES: RNA chaperone Hfq
WP_348779593.1	Hfq	Phyllobacteriaceae	MULTISPECIES: RNA chaperone Hfq
WP_490070440.1	Hfq	Komagataeibacter intermedius	RNA chaperone Hfq
WP_484353357.1	Hfq	Sneathiella sp.	RNA chaperone Hfq
WP_487395032.1	Hfq	Roseomonas sp. SRI_022	RNA chaperone Hfq
WP_484745417.1	Hfq	Roseomonas sp. TF40	RNA chaperone Hfq
WP_489212495.1	Hfq	Acidisoma sibiricum	RNA chaperone Hfq
WP_484142205.1	Hfq	Magnetovibrio sp.	RNA chaperone Hfq
WP_483661909.1	Hfq	Shigella sonnei	RNA chaperone Hfq, partial
WP_483253996.1	Other		(not in type map)
WP_483473270.1	Hfq	Qipengyuania flava	RNA chaperone Hfq, partial
WP_489823438.1	Hfq	Gluconobacter sp. ESL1110	RNA chaperone Hfq
WP_489804279.1	Hfq	unclassified Aristophania	MULTISPECIES: RNA chaperone Hfq
WP_335548922.1	Hfq	Neobacillus	MULTISPECIES: RNA chaperone Hfq
WP_214729075.1	Hfq	Bacillaceae	MULTISPECIES: RNA chaperone Hfq
WP_443481614.1	Hfq	Niallia	MULTISPECIES: RNA chaperone Hfq
WP_136829438.1	Hfq	Robertmurraya kyonggiensis	RNA chaperone Hfq
WP_490198023.1	Hfq	Bacillus sp. SRL337	RNA chaperone Hfq
WP_374056717.1	Hfq	Rossellomorea	MULTISPECIES: RNA chaperone Hfq
WP_488282542.1	Hfq	Bacillus sp. JST-5	RNA chaperone Hfq
WP_488124884.1	Hfq	unclassified Lederbergia	MULTISPECIES: RNA chaperone Hfq
WP_489423083.1	Hfq	Virgibacillus carmonensis	RNA chaperone Hfq
WP_486029757.1	Hfq	Virgibacillus oceani	RNA chaperone Hfq
WP_489833465.1	Hfq	Listeria monocytogenes	RNA chaperone Hfq
WP_379197056.1	Hfq	unclassified Paenibacillus	MULTISPECIES: RNA chaperone Hfq
WP_100536448.1	Hfq	Caryophanales	MULTISPECIES: RNA chaperone Hfq
WP_474650221.1	Hfq	Paenibacillus sp. sgz302114	RNA chaperone Hfq
WP_488978818.1	Hfq	Paenibacillus sp. F024	RNA chaperone Hfq
WP_484697792.1	Hfq	Paenibacillus sp. plas6	RNA chaperone Hfq
WP_014464241.1	Hfq	Alicyclobacillus	MULTISPECIES: RNA chaperone Hfq
WP_379967464.1	Hfq	Ectobacillus	MULTISPECIES: RNA chaperone Hfq
WP_226550334.1	Hfq	Caryophanales	MULTISPECIES: RNA chaperone Hfq
WP_143997766.1	Hfq	Lysinibacillus fusiformis	RNA chaperone Hfq
WP_489152509.1	Hfq	Lysinibacillus sp. RU7	RNA chaperone Hfq
WP_489442942.1	Hfq	Viridibacillus arvi	RNA chaperone Hfq
WP_394187461.1	Hfq	Paenisporosarcina	MULTISPECIES: RNA chaperone Hfq
WP_235199312.1	Hfq	unclassified Planococcus (in: firmicutes)	MULTISPECIES: RNA chaperone Hfq
WP_489748416.1	Hfq	Sporosarcina sp. So3-204	RNA chaperone Hfq
WP_488146564.1	Hfq	Sporosarcina sp. Y1009	RNA chaperone Hfq
WP_377732400.1	Hfq	Paenisporosarcina	MULTISPECIES: RNA chaperone Hfq
WP_487038913.1	Hfq	Staphylococcus aureus	RNA chaperone Hfq
WP_011275895.1	Hfq	Staphylococcus	MULTISPECIES: RNA chaperone Hfq
WP_490674411.1	Hfq	Staphylococcus sp. CoH_129_LAB_1	RNA chaperone Hfq
WP_490663219.1	Hfq	Staphylococcus equorum	RNA chaperone Hfq
WP_483372115.1	Hfq	Staphylococcus saprophyticus	RNA chaperone Hfq
WP_119614606.1	Hfq	Staphylococcus sp. AS1337	RNA chaperone Hfq
WP_368864229.1	Hfq	Staphylococcus	MULTISPECIES: RNA chaperone Hfq
WP_487410737.1	Hfq	Staphylococcus hyicus	RNA chaperone Hfq
WP_489242162.1	Hfq	Macrococcus sp. GL_134	RNA chaperone Hfq
WP_483812591.1	Hfq	Mammaliicoccus sciuri	RNA chaperone Hfq
WP_009442889.1	Hfq	Selenomonadaceae	MULTISPECIES: RNA chaperone Hfq
WP_489132144.1	Hfq	Centipeda sp. (in: firmicutes)	RNA chaperone Hfq
WP_489123877.1	Hfq	Centipeda sp. (in: firmicutes)	RNA chaperone Hfq
WP_009441885.1	Hfq	Selenomonadaceae	MULTISPECIES: RNA chaperone Hfq
WP_488795101.1	Hfq	Centipeda sp. (in: firmicutes)	RNA chaperone Hfq
WP_488783763.1	Hfq	Centipeda sp. (in: firmicutes)	RNA chaperone Hfq
WP_488793280.1	Hfq	Centipeda sp. (in: firmicutes)	RNA chaperone Hfq
WP_019542097.1	Hfq	Dongibacter bovis	RNA chaperone Hfq
WP_074515872.1	Hfq	Selenomonas sp. WCT3	RNA chaperone Hfq
WP_075445613.1	Hfq	Pseudoselenomonas	MULTISPECIES: RNA chaperone Hfq
WP_368846221.1	Hfq	Selenomonas oralis	RNA chaperone Hfq
WP_314619875.1	Hfq	Selenomonas sp.	RNA chaperone Hfq
WP_485656885.1	Hfq	Selenomonas sp.	RNA chaperone Hfq
WP_037354417.1	Hfq	Selenomonadaceae	MULTISPECIES: RNA chaperone Hfq
WP_488272026.1	Hfq	Sporomusa sp.	RNA chaperone Hfq
WP_021170641.1	Hfq	Sporomusa	MULTISPECIES: RNA chaperone Hfq
WP_487710369.1	Hfq	Phascolarctobacterium succinatutens	RNA chaperone Hfq, partial
