accession	category	organism	description
XP_045429122.1	Lsm (eukaryote)	Pipistrellus kuhlii	U6 snRNA-associated Sm-like protein LSm2
XP_076414352.1	Lsm (eukaryote)	Peromyscus maniculatus bairdii	U6 snRNA-associated Sm-like protein LSm2 isoform X2
XP_017714979.1	Lsm (eukaryote)	Rhinopithecus bieti	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_050162226.1	Lsm (eukaryote)	Myiozetetes cayanensis	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm2
XP_042311441.1	Lsm (eukaryote)	Sceloporus undulatus	U6 snRNA-associated Sm-like protein LSm2
XP_032655171.2	Lsm (eukaryote)	Chelonoidis abingdonii	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm2
XP_066215862.1	Lsm (eukaryote)	Saccopteryx leptura	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_079790809.1	Lsm (eukaryote)	Stenella coeruleoalba	U6 snRNA-associated Sm-like protein LSm2 isoform 1
XP_083825115.1	Lsm (eukaryote)	Clangula hyemalis	U6 snRNA-associated Sm-like protein LSm2 isoform 1
XP_066842729.1	Lsm (eukaryote)	Anser cygnoides	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm2
XP_060127148.1	Lsm (eukaryote)	Zootoca vivipara	U6 snRNA-associated Sm-like protein LSm2
XP_053907958.1	Lsm (eukaryote)	Cuculus canorus	U6 snRNA-associated Sm-like protein LSm2
XP_049988343.1	Lsm (eukaryote)	Alexandromys fortis	U6 snRNA-associated Sm-like protein LSm2 isoform X2
XP_067990261.1	Lsm (eukaryote)	Myxine glutinosa	U6 snRNA-associated Sm-like protein LSm2 isoform X2
XP_075909205.1	Lsm (eukaryote)	Petromyzon marinus	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_033773002.1	Lsm (eukaryote)	Geotrypetes seraphini	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_015342805.2	Lsm (eukaryote)	Marmota marmota marmota	U6 snRNA-associated Sm-like protein LSm2
XP_074385863.1	Lsm (eukaryote)	Zonotrichia albicollis	U6 snRNA-associated Sm-like protein LSm2 isoform X3
XP_052019510.1	Lsm (eukaryote)	Apodemus sylvaticus	U6 snRNA-associated Sm-like protein LSm2 isoform X2
XP_074385861.1	Lsm (eukaryote)	Zonotrichia albicollis	U6 snRNA-associated Sm-like protein LSm2 isoform X1
XP_043938082.1	Lsm (eukaryote)	Protopterus annectens	U6 snRNA-associated Sm-like protein LSm2
XP_048317347.1	Lsm (eukaryote)	Myodes glareolus	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm2
XP_061161136.1	Lsm (eukaryote)	Theileria parva strain Muguga	U6 snRNA-associated Sm-like protein LSm2
XP_020436781.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm2
XP_078181554.1	Sm-core (eukaryote)	Carex rostrata	small nuclear ribonucleoprotein family protein
XP_042006300.1	Sm-core (eukaryote)	Salvia splendens	small nuclear ribonucleoprotein family protein isoform X1
XP_076512699.1	Lsm (eukaryote)	Rhodotorula pacifica	Sm-like protein LSM2
XP_076485578.1	Lsm (eukaryote)	Sporobolomyces salmoneus	Sm-like protein LSM2
XP_056062742.1	Lsm (eukaryote)	Malassezia vespertilionis	U6 snRNA-associated Sm-like protein LSm2
XP_076494410.1	Lsm (eukaryote)	Mrakia frigida	Sm-like protein LSM2
XP_069209442.1	Lsm (eukaryote)	Vanrija albida	U6 snRNA-associated Sm-like protein LSm2
XP_028477811.1	Lsm (eukaryote)	Apiotrichum porosum	U6 snRNA-associated Sm-like protein LSm2
XP_060455843.1	Other	Cutaneotrichosporon cavernicola	uncharacterized protein CcaverHIS019_0306480
XP_036630557.1	Lsm (eukaryote)	Pleurotus ostreatus	U6 snRNA-associated Sm-like protein LSm2
NP_588459.1	Sm-core (eukaryote)	Schizosaccharomyces pombe	U6 snRNP-associated core protein
XP_002152305.2	Lsm (eukaryote)	Talaromyces marneffei ATCC 18224	Sm-like protein LSM2
XP_003065796.2	Lsm (eukaryote)	Coccidioides posadasii str. Silveira	U6 snRNA-associated Sm-like protein LSm2
XP_064728694.1	Lsm (eukaryote)	Knufia obscura	U6 snRNA-associated Sm-like protein LSm2
XP_064704775.1	Lsm (eukaryote)	Exophiala bonariae	U6 snRNA-associated Sm-like protein LSm2
XP_064751519.1	Lsm (eukaryote)	Lithohypha guttulata	U6 snRNA-associated Sm-like protein LSm2
XP_070913164.1	Lsm (eukaryote)	Madurella fahalii	U6 snRNA-associated Sm-like protein LSm2
XP_031888603.1	Lsm (eukaryote)	Colletotrichum fructicola Nara gc5	U6 snRNA-associated Sm-like protein LSm2
XP_044686624.1	Lsm (eukaryote)	Fusarium musae	U6 snRNA-associated Sm-like protein LSm2
XP_044710910.1	Lsm (eukaryote)	Fusarium poae	U6 snRNA-associated Sm-like protein LSm2
XP_024324565.1	Lsm (eukaryote)	Pseudogymnoascus destructans	U6 snRNA-associated Sm-like protein LSm2
XP_066628197.1	Lsm (eukaryote)	Diplodia seriata	U6 snRNA-associated Sm-like protein LSm2
XP_069225510.1	Lsm (eukaryote)	Cladosporium halotolerans	U6 snRNA-associated Sm-like protein LSm2
XP_003839139.1	Lsm (eukaryote)	Plenodomus lingam	U6 snRNA-associated Sm-like protein LSm2
XP_056065783.1	Lsm (eukaryote)	Didymosphaeria variabile	U6 snRNA-associated Sm-like protein LSm2
XP_076540492.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	Sm-like protein LSM2
XP_064854563.1	Lsm (eukaryote)	Saccharomycopsis crataegensis	Sm-like protein LSM2
XP_020045022.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	Sm-like protein LSM2
XP_003684872.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	Sm-like protein LSM2 TPHA_0C02850
XP_003647423.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	Sm-like protein LSM2 Ecym_6224
XP_022674623.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	Sm-like protein LSM2
XP_022629302.1	Lsm (eukaryote)	Lachancea lanzarotensis	Sm-like protein LSM2 LALA0_S07e01970g
NP_009527.1	Lsm (eukaryote)	Saccharomyces cerevisiae S288C	Sm-like protein LSM2
XP_070910347.1	Lsm (eukaryote)	Nakaseomyces bracarensis	Sm-like protein LSM2
XP_045935751.1	Lsm (eukaryote)	Saccharomycodes ludwigii	Sm-like protein LSM2 SCDLUD_001600
NP_147300.1	SmAP (archaea)	Aeropyrum pernix K1	small nucleolar RNP protein Sm
NP_613507.1	SmAP (archaea)	Methanopyrus kandleri AV19	small nuclear ribonucleoprotein (snRNP)-like protein
XP_070908510.1	Lsm (eukaryote)	Nakaseomyces bracarensis	U4/U6-U5 snRNP complex subunit LSM3
XP_003672406.1	Lsm (eukaryote)	Naumovozyma dairenensis CBS 421	U4/U6-U5 snRNP complex subunit LSM3 NDAI_0J02710
XP_018220821.1	Lsm (eukaryote)	Saccharomyces eubayanus	U4/U6-U5 snRNP complex subunit LSM3
XP_064714053.1	Lsm (eukaryote)	Arxiozyma heterogenica	U4/U6-U5 snRNP complex subunit LSM3 PWA37_002688
XP_041408365.1	Lsm (eukaryote)	Maudiozyma barnettii	U4/U6-U5 snRNP complex subunit LSM3
XP_022463312.1	Lsm (eukaryote)	Huiozyma naganishii CBS 8797	U4/U6-U5 snRNP complex subunit LSM3 KNAG_0B06380
XP_004181034.1	Lsm (eukaryote)	Henningerozyma blattae CBS 6284	U4/U6-U5 snRNP complex subunit LSM3 TBLA_0E04630
XP_022676645.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	U4/U6-U5 snRNP complex subunit LSM3
XP_451766.1	Lsm (eukaryote)	Kluyveromyces lactis	U4/U6-U5 snRNP complex subunit LSM3
XP_003957700.1	Lsm (eukaryote)	Kazachstania africana CBS 2517	U4/U6-U5 snRNP complex subunit LSM3 KAFR_0E04140
XP_037144834.1	Lsm (eukaryote)	Zygotorulaspora mrakii	U4/U6-U5 snRNP complex subunit LSM3 HG535_0E01910
XP_003680894.1	Lsm (eukaryote)	Torulaspora delbrueckii	U4/U6-U5 snRNP complex subunit LSM3 TDEL_0D00990
XP_001643962.1	Lsm (eukaryote)	Vanderwaltozyma polyspora DSM 70294	U4/U6-U5 snRNP complex subunit LSM3 Kpol_1001p16
XP_003684159.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	U4/U6-U5 snRNP complex subunit LSM3 TPHA_0B00530
XP_002495553.1	Lsm (eukaryote)	Zygosaccharomyces rouxii	U4/U6-U5 snRNP complex subunit LSM3
XP_017989063.1	Lsm (eukaryote)	Eremothecium sinecaudum	U4/U6-U5 snRNP complex subunit LSM3
XP_003644229.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	U4/U6-U5 snRNP complex subunit LSM3 Ecym_1162
NP_984984.1	Lsm (eukaryote)	Eremothecium gossypii ATCC 10895	U4/U6-U5 snRNP complex subunit LSM3
XP_022627897.1	Lsm (eukaryote)	Lachancea lanzarotensis	U4/U6-U5 snRNP complex subunit LSM3 LALA0_S03e07998g
XP_002553407.1	Lsm (eukaryote)	Lachancea thermotolerans CBS 6340	U4/U6-U5 snRNP complex subunit LSM3
XP_045933942.1	Lsm (eukaryote)	Saccharomycodes ludwigii	U4/U6-U5 snRNP complex subunit LSM3 SCDLUD_004326
XP_020071930.1	Lsm (eukaryote)	Williopsis jadinii	U4/U6-U5 snRNP complex subunit LSM3
XP_011271782.1	Lsm (eukaryote)	Hansenula ciferrii	U4/U6-U5 snRNP complex subunit LSM3 BN7_5961
XP_064853392.1	Lsm (eukaryote)	Saccharomycopsis crataegensis	U4/U6-U5 snRNP complex subunit LSM3
XP_020048198.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	U4/U6-U5 snRNP complex subunit LSM3
XP_076543509.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	U4/U6-U5 snRNP complex subunit LSM3
XP_084434327.1	Lsm (eukaryote)	Amblyomma maculatum	U6 snRNA-associated Sm-like protein LSm3
XP_080018127.1	Lsm (eukaryote)	Acartia tonsa	U6 snRNA-associated Sm-like protein LSm3
XP_040579389.1	Lsm (eukaryote)	Lepeophtheirus salmonis	U6 snRNA-associated Sm-like protein LSm3
XP_071549588.1	Lsm (eukaryote)	Panulirus ornatus	U6 snRNA-associated Sm-like protein LSm3
XP_076313623.1	Lsm (eukaryote)	Tachypleus tridentatus	U6 snRNA-associated Sm-like protein LSm3 isoform X2
XP_076313622.1	Lsm (eukaryote)	Tachypleus tridentatus	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_082390573.1	Lsm (eukaryote)	Aulonocara stuartgranti	U6 snRNA-associated Sm-like protein LSm3 isoform 1
XP_032370018.1	Lsm (eukaryote)	Etheostoma spectabile	U6 snRNA-associated Sm-like protein LSm3
XP_008319052.3	Lsm (eukaryote)	Cynoglossus semilaevis	U6 snRNA-associated Sm-like protein LSm3
XP_010768660.1	Lsm (eukaryote)	Notothenia coriiceps	U6 snRNA-associated Sm-like protein LSm3
XP_019716000.1	Lsm (eukaryote)	Hippocampus comes	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_008290393.1	Lsm (eukaryote)	Stegastes partitus	U6 snRNA-associated Sm-like protein LSm3
XP_081678902.1	Lsm (eukaryote)	Leptonychotes weddellii	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_032892844.1	Lsm (eukaryote)	Amblyraja radiata	U6 snRNA-associated Sm-like protein LSm3
XP_070751036.1	Lsm (eukaryote)	Pristiophorus japonicus	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_016796020.1	Lsm (eukaryote)	Pan troglodytes	U6 snRNA-associated Sm-like protein LSm3 isoform X2
XP_082493648.1	Lsm (eukaryote)	Mesoplodon mirus	U6 snRNA-associated Sm-like protein LSm3 isoform 1
XP_034811763.2	Lsm (eukaryote)	Pan paniscus	U6 snRNA-associated Sm-like protein LSm3 isoform X3
XP_073757816.1	Lsm (eukaryote)	Callorhinus ursinus	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_063486770.1	Lsm (eukaryote)	Symphalangus syndactylus	U6 snRNA-associated Sm-like protein LSm3 isoform X5
XP_063458788.1	Lsm (eukaryote)	Pan paniscus	U6 snRNA-associated Sm-like protein LSm3 isoform X2
XP_073431108.1	Lsm (eukaryote)	Dendrobates tinctorius	U6 snRNA-associated Sm-like protein LSm3 isoform X2
XP_078731042.1	Lsm (eukaryote)	Lampetra fluviatilis	U6 snRNA-associated Sm-like protein LSm3
XP_003743325.1	Lsm (eukaryote)	Galendromus occidentalis	U6 snRNA-associated Sm-like protein LSm3
XP_018402559.1	Lsm (eukaryote)	Cyphomyrmex costatus	U6 snRNA-associated Sm-like protein LSm3
XP_011331746.1	Lsm (eukaryote)	Ooceraea biroi	U6 snRNA-associated Sm-like protein LSm3
XP_071444489.1	Lsm (eukaryote)	Hetaerina americana	U6 snRNA-associated Sm-like protein LSm3
XP_060645442.1	Lsm (eukaryote)	Drosophila nasuta	U6 snRNA-associated Sm-like protein LSm3
XP_070498522.1	Lsm (eukaryote)	Chironomus tepperi	uncharacterized protein LSm3
XP_077290707.1	Lsm (eukaryote)	Arctopsyche grandis	U6 snRNA-associated Sm-like protein LSm3 isoform X2
XP_076275652.1	Lsm (eukaryote)	Rhynchophorus ferrugineus	U6 snRNA-associated Sm-like protein LSm3 isoform X1
XP_065155179.1	Lsm (eukaryote)	Dalotia coriaria	U6 snRNA-associated Sm-like protein LSm3
XP_018898611.1	Lsm (eukaryote)	Bemisia tabaci	U6 snRNA-associated Sm-like protein LSm3
XP_011568719.2	Lsm (eukaryote)	Plutella xylostella	U6 snRNA-associated Sm-like protein LSm3
XP_011139679.1	Lsm (eukaryote)	Harpegnathos saltator	U6 snRNA-associated Sm-like protein LSm3
XP_075233436.1	Lsm (eukaryote)	Lycorma delicatula	U6 snRNA-associated Sm-like protein LSm3
XP_081603761.1	Lsm (eukaryote)	Thermobia domestica	U6 snRNA-associated Sm-like protein LSm3
XP_074602580.1	Lsm (eukaryote)	Brevipalpus obovatus	U6 snRNA-associated Sm-like protein LSm3
XP_027204893.1	Lsm (eukaryote)	Dermatophagoides pteronyssinus	U6 snRNA-associated Sm-like protein LSm3
XP_020426864.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm3
XP_076489008.1	Lsm (eukaryote)	Sporobolomyces salmoneus	U4/U6-U5 snRNP complex subunit LSM3
XP_083046572.1	Other	Amphichorda felina	uncharacterized protein ACO1O0_007736
XP_070922606.1	Lsm (eukaryote)	Madurella fahalii	U4/U6-U5 snRNP complex subunit lsm3
XP_002146668.1	Lsm (eukaryote)	Talaromyces marneffei ATCC 18224	U4/U6-U5 snRNP complex subunit LSM3
XP_045942555.1	Lsm (eukaryote)	Aspergillus melleus	U4/U6-U5 snRNP complex subunit LSM3
XP_041543353.1	Lsm (eukaryote)	Aspergillus luchuensis	U4/U6-U5 snRNP complex subunit LSM3
XP_003746524.1	Sm-core (eukaryote)	Galendromus occidentalis	small ribonucleoprotein particle protein SmD2
XP_018908287.1	Sm-core (eukaryote)	Bemisia tabaci	probable small nuclear ribonucleoprotein Sm D2
XP_083046111.1	Sm-core (eukaryote)	Amphichorda felina	mRNA splicing protein SMD2
XP_031891496.1	Sm-core (eukaryote)	Colletotrichum fructicola Nara gc5	Small nuclear ribonucleoprotein Sm D2
XP_041553072.1	Sm-core (eukaryote)	Aspergillus puulaauensis	mRNA splicing protein SMD2
XP_070921780.1	Sm-core (eukaryote)	Madurella fahalii	mRNA splicing protein
XP_047842304.1	Sm-core (eukaryote)	Purpureocillium takamizusanense	mRNA splicing protein
XP_045942569.1	Sm-core (eukaryote)	Aspergillus melleus	mRNA splicing protein SMD2
XP_064735494.1	Sm-core (eukaryote)	Knufia obscura	mRNA splicing protein
XP_049105720.1	Sm-core (eukaryote)	Ophidiomyces ophidiicola	mRNA splicing protein
XP_049227222.1	Sm-core (eukaryote)	Alternaria triticimaculans	mRNA splicing protein
XP_031004553.1	Sm-core (eukaryote)	Lachnellula hyalina	Small nuclear ribonucleoprotein Sm D2
XP_023456748.1	Sm-core (eukaryote)	Cercospora beticola	mRNA splicing protein
XP_066628462.1	Sm-core (eukaryote)	Diplodia seriata	mRNA splicing protein
XP_024320953.1	Sm-core (eukaryote)	Pseudogymnoascus destructans	mRNA splicing protein
XP_064699391.1	Sm-core (eukaryote)	Recurvomyces mirabilis	mRNA splicing protein
XP_460458.1	Sm-core (eukaryote)	Debaryomyces hansenii CBS767	mRNA splicing protein
XP_002615667.2	Sm-core (eukaryote)	Clavispora lusitaniae	mRNA splicing protein
XP_062879360.1	Sm-core (eukaryote)	Australozyma saopauloensis	mRNA splicing protein
XP_025340324.1	Sm-core (eukaryote)	Candidozyma haemuli	mRNA splicing protein
XP_024715458.1	Sm-core (eukaryote)	Candidozyma pseudohaemuli	mRNA splicing protein
XP_018709334.1	Sm-core (eukaryote)	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	mRNA splicing protein
XP_062811362.1	Sm-core (eukaryote)	Priceomyces carsonii	mRNA splicing protein
XP_064772635.1	Sm-core (eukaryote)	Scheffersomyces xylosifermentans	mRNA splicing protein
XP_002547359.1	Sm-core (eukaryote)	Candida tropicalis MYA-3404	mRNA splicing protein
XP_067550739.1	Sm-core (eukaryote)	Lodderomyces metapsilosis	mRNA splicing protein
XP_066829480.1	Sm-core (eukaryote)	Lodderomyces beijingensis	mRNA splicing protein
XP_051620431.1	Sm-core (eukaryote)	Lodderomyces jiufengensis	mRNA splicing protein
XP_049261584.1	Sm-core (eukaryote)	Hemisphaericaspora subhashii	mRNA splicing protein
XP_001486603.1	Sm-core (eukaryote)	Meyerozyma guilliermondii ATCC 6260	mRNA splicing protein
XP_034010879.1	Sm-core (eukaryote)	Diutina rugosa	mRNA splicing protein
XP_066014505.1	Sm-core (eukaryote)	Yamadazyma tenuis	mRNA splicing protein
XP_038776415.1	Sm-core (eukaryote)	Brettanomyces nanus	mRNA splicing protein
NP_013377.1	Sm-core (eukaryote)	Saccharomyces cerevisiae S288C	mRNA splicing protein SMD2
XP_041407710.1	Sm-core (eukaryote)	Maudiozyma barnettii	mRNA splicing protein SMD2
XP_003672009.1	Sm-core (eukaryote)	Naumovozyma dairenensis CBS 421	mRNA splicing protein SMD2 NDAI_0I01970
XP_003676235.1	Sm-core (eukaryote)	Naumovozyma castellii	mRNA splicing protein SMD2 NCAS_0D02930
XP_037146086.1	Sm-core (eukaryote)	Zygotorulaspora mrakii	mRNA splicing protein SMD2 HG535_0G02450
XP_003955068.1	Sm-core (eukaryote)	Kazachstania africana CBS 2517	mRNA splicing protein SMD2 KAFR_0A04970
XP_002497054.1	Sm-core (eukaryote)	Zygosaccharomyces rouxii	mRNA splicing protein SMD2
XP_037141708.1	Sm-core (eukaryote)	Torulaspora globosa	mRNA splicing protein SMD2 HG536_0H04100
XP_003682978.1	Sm-core (eukaryote)	Torulaspora delbrueckii	mRNA splicing protein SMD2 TDEL_0G04000
XP_070910831.1	Sm-core (eukaryote)	Nakaseomyces bracarensis	mRNA splicing protein SMD2
XP_003687681.1	Sm-core (eukaryote)	Tetrapisispora phaffii CBS 4417	mRNA splicing protein SMD2 TPHA_0K01130
XP_004178275.1	Sm-core (eukaryote)	Henningerozyma blattae CBS 6284	mRNA splicing protein SMD2 TBLA_0A09730
XP_001643714.1	Sm-core (eukaryote)	Vanderwaltozyma polyspora DSM 70294	mRNA splicing protein SMD2 Kpol_1009p2
XP_022465209.1	Sm-core (eukaryote)	Huiozyma naganishii CBS 8797	mRNA splicing protein SMD2 KNAG_0F03010
XP_064714561.1	Sm-core (eukaryote)	Arxiozyma heterogenica	mRNA splicing protein SMD2 PWA37_002136
XP_022630420.1	Sm-core (eukaryote)	Lachancea lanzarotensis	mRNA splicing protein SMD2 LALA0_S10e04984g
XP_002555696.1	Sm-core (eukaryote)	Lachancea thermotolerans CBS 6340	mRNA splicing protein SMD2
XP_017989872.1	Sm-core (eukaryote)	Eremothecium sinecaudum	mRNA splicing protein SMD2
XP_003645439.1	Sm-core (eukaryote)	Eremothecium cymbalariae DBVPG#7215	mRNA splicing protein SMD2 Ecym_3115
NP_986943.1	Sm-core (eukaryote)	Eremothecium gossypii ATCC 10895	mRNA splicing protein SMD2
XP_022675018.1	Sm-core (eukaryote)	Kluyveromyces marxianus DMKU3-1042	mRNA splicing protein SMD2
XP_018988410.1	Sm-core (eukaryote)	Babjeviella inositovora NRRL Y-12698	mRNA splicing protein
XP_064851781.1	Sm-core (eukaryote)	Saccharomycopsis crataegensis	mRNA splicing protein SMD2
XP_020046683.1	Sm-core (eukaryote)	Ascoidea rubescens DSM 1968	mRNA splicing protein SMD2
XP_020069120.1	Sm-core (eukaryote)	Williopsis jadinii	mRNA splicing protein SMD2 CYBJADRAFT_178191
XP_076538571.1	Sm-core (eukaryote)	Blastobotrys vanleenenianus	mRNA splicing protein SMD2
XP_076514380.1	Sm-core (eukaryote)	Rhodotorula pacifica	mRNA splicing protein SMD2
XP_076486722.1	Sm-core (eukaryote)	Sporobolomyces salmoneus	mRNA splicing protein SMD2
XP_076501328.1	Sm-core (eukaryote)	Mrakia frigida	mRNA splicing protein SMD2
XP_056061642.1	Sm-core (eukaryote)	Malassezia vespertilionis	mRNA splicing protein
XP_036634881.1	Sm-core (eukaryote)	Pleurotus ostreatus	mRNA splicing protein
XP_043015850.1	Sm-core (eukaryote)	Marasmius oreades	mRNA splicing protein
XP_069209634.1	Sm-core (eukaryote)	Vanrija albida	mRNA splicing protein
NP_594506.1	Sm-core (eukaryote)	Schizosaccharomyces pombe	Sm snRNP core protein Smd2
XP_065165085.1	Sm-core (eukaryote)	Dalotia coriaria	small nuclear ribonucleoprotein Sm D2
XP_074599612.1	Sm-core (eukaryote)	Brevipalpus obovatus	small ribonucleoprotein particle protein SmD2
XP_070501976.1	Sm-core (eukaryote)	Chironomus tepperi	small nuclear ribonucleoprotein Sm D2
XP_075675663.1	Sm-core (eukaryote)	Dermatophagoides pteronyssinus	small ribonucleoprotein particle protein SmD2
XP_065201814.1	Sm-core (eukaryote)	Planococcus citri	probable small nuclear ribonucleoprotein Sm D2
XP_045596614.1	Sm-core (eukaryote)	Procambarus clarkii	probable small nuclear ribonucleoprotein Sm D2 isoform X1
XP_084438326.1	Sm-core (eukaryote)	Amblyomma maculatum	small ribonucleoprotein particle protein SmD2
NP_001356681.1	Other		(not in type map)
